country,under-1992,under-1992-est,under-2000,under-2000-est,under-2008,under-2008-est,under-2016,under-2016-est,stunting-1992,stunting-1992-est,stunting-2000,stunting-2000-est,stunting-2008,stunting-2008-est,stunting-2016,stunting-2016-est,wasting-1992,wasting-1992-est,wasting-2000,wasting-2000-est,wasting-2008,wasting-2008-est,wasting-2016,wasting-2016-est,mortality-1992,mortality-2000,mortality-2008,mortality-2015
Tajikistan,-,,38.8,,38.2,,33.2,,41.1,*,42.1,,34,,26.8,,11,*,9.4,,5.5,,9.9,,11.6,9.3,5.6,4.5
Tanzania,24.8,,36.8,,33.8,,32.1,,49.7,,48.3,,43,,34.7,,7.9,,5.6,,2.7,,3.8,,16.3,13.1,7.4,4.9
Thailand,33.2,,19,,9.7,,7.4,,21.1,,19.5,*,15.7,,16.3,,7.3,,6.4,*,4.7,,6.7,,3.3,2.3,1.6,1.2
Timor-Leste,-,,-,,33.1,,26.9,,-,,55.7,,53.9,,50.2,,-,,13.7,,24.5,,11,,-,-,7,5.3
Togo,41.3,,29.2,,22.3,,11.4,,33.8,*,33.2,,26.9,,27.5,,11.6,*,12.4,,6,,6.7,,14.2,12.1,9.6,7.8
Trinidad & Tobago,13.2,,13,,10.7,,7.4,,8,*,5.3,,3.9,*,3.6,*,6.6,*,5.2,,4.9,*,4.7,*,3,2.9,2.5,2
Tunisia,1,*,0.8,*,0.9,*,0.4,*,21.7,*,16.8,,9,,10.1,,5.3,*,2.9,,3.4,,2.8,,5.3,3.2,1.9,1.4
Turkey,0.5,*,0.8,*,0.3,*,0.2,*,24.1,,19.1,,12.3,,9.5,,3.8,,3,,0.8,,1.7,,6.6,4,2.2,1.4
Turkmenistan,-,,9,,4.9,*,3.2,*,28.8,*,28.1,,18.9,,12.9,*,8.4,*,7.1,,7.2,,5.5,*,9,8.2,6.4,5.1
Uganda,24.4,,28.4,,24.8,,25.5,,44.7,*,44.8,,38.7,,34.2,,6,*,5,,6.3,,4.3,,18,14.8,8.6,5.5
Ukraine,-,,4.1,*,1.3,*,1.2,*,9.8,*,22.9,,7.5,*,7.6,*,2,*,8.2,,1.5,*,1.6,*,2,1.9,1.3,0.9
Uruguay,6.4,,4,*,3.7,*,3.3,*,15.7,*,12.8,,10.8,,10.7,,2.7,*,2.3,,2.5,,1.3,,2.2,1.7,1.3,1
Uzbekistan,-,,11.5,,9.4,,4.2,*,29.8,*,25.3,,19.6,,18.7,*,7.6,*,8.9,,4.5,,5.8,*,7.1,6.3,4.9,3.9
"Venezuela, RB",13.2,,16.6,,2.6,*,1.3,*,18.3,,17.4,,14.6,,12.8,*,4.3,,3.9,,4.5,,3.5,*,2.8,2.2,1.7,1.5
Vietnam,44.8,,28.1,,16.8,,11,,61.4,,43,,30.5,,19.4,,6.7,,9,,9.7,,5.7,,4.7,3.4,2.6,2.2
"Yemen, Rep.",28.6,,29.6,,27.7,,26.1,,52.4,,54.6,*,47,*,46.8,,14.3,,15.8,*,14.4,*,16.2,,12,9.5,6.1,4.2
Zambia,34.9,,42.9,,53.5,,47.8,,46.4,,57.9,,45.8,,40,,6.3,,5.7,,5.6,,6.3,,18.9,16.3,9.3,6.4
Zimbabwe,44.4,,43.7,,37.3,,33.4,,28.5,,33.7,,35.1,,26.8,,5.3,,8.5,,3.8,,3.2,,8.3,10.6,9.5,7.1
